SMILES,docking_score_kcal_mol,selectivity_note
O=C(NC[C@@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1cnc2[nH]nnc2c1,-7.51,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCCN1c1cncc(-c2nn[nH]n2)n1)c1ccnc2[nH]nnc12,-7.101,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c[nH]c(C(=O)N[C@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)n1,-7.037,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1nnc(O)nc1O,-7.459,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1cnnc(O)c1,-7.132,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1ccc(-c2nn[nH]n2)[nH]1)N1CC[C@H]2CCN(c3cncc(-c4nn[nH]n4)n3)[C@H]2C1,-7.735,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1ccc2nn[nH]c2n1,-7.669,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@H]1[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@@H]21)c1ccnc2[nH]nnc12,-7.424,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.089,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2ccnc(-c3nn[nH]n3)n2)CCO1)c1nc2ncccn2n1,-7.904,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1ccc2nn[nH]c2n1,-7.671,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C1C[C@@H](C(=O)NC[C@H]2C[C@@H](NC(=O)c3ccc(-c4nn[nH]n4)[nH]3)C2)NC(=O)N1,-7.303,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1c[nH]c(-c2nn[nH]n2)c1,-7.066,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@]1(O)CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1cnc2[nH]nnc2c1,-7.89,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)[C@@H]1C,-7.423,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
COc1cncc(C(=O)N[C@@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)n1,-7.345,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1c[nH]c(-c2nn[nH]n2)c1,-7.346,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1c[nH]c(-c2nn[nH]n2)c1)N1CC[C@@H]2[C@H](CCN2c2cncc3c2N=N3)C1,-7.027,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1nnc(C(=O)N[C@@H]2C[C@H]3CC[C@@H]2N3c2ccnc(-c3nn[nH]n3)n2)n1,-7.365,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@H]1CC[C@H](N=c2cc[nH]c(-c3nn[nH]n3)n2)CC1)[C@@H]1CCc2nn[nH]c2C1,-7.051,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C1C[C@H](C(=O)NC[C@H]2CCN(C(=O)c3ccc(-c4nn[nH]n4)[nH]3)C2)NC(=O)N1,-7.094,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c(C(=O)N[C@H]2CCCN(c3ccnc(-c4nn[nH]n4)n3)C2)nnn1C,-7.068,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
